,datetime,colB_mas_cercano
6291,44639.15671,44639.156689999996
6292,44639.157060000005,44639.15716
6293,44639.15741,44639.157380000004
6294,44639.15776,44639.15786
6295,44639.158110000004,44639.15808
6296,44639.158460000006,44639.15855
6297,44639.15881,44639.15877
6298,44639.15916,44639.15925
6299,44639.159510000005,44639.15947
6300,44639.15985,44639.15994
6301,44639.1602,44639.16016
6302,44639.16055,44639.160639999995
6303,44639.1609,44639.16086
6304,44639.16125,44639.16133
6305,44639.1616,44639.16155
6306,44639.16195,44639.16203
6307,44639.1623,44639.16225
6308,44639.16265,44639.16272
6309,44639.163,44639.162939999995
6310,44639.16335,44639.16341
6311,44639.16369,44639.16363
6312,44639.166639999996,44639.1666
6313,44639.16698,44639.16689
6314,44639.167330000004,44639.16729
6315,44639.16768,44639.16758
6316,44639.16803,44639.167989999994
6317,44639.16838,44639.16847
6318,44639.16873,44639.16868
6319,44639.16908,44639.16917
6320,44639.16943,44639.16938
6321,44639.169780000004,44639.16986
6322,44639.17165,44639.17175
6323,44639.172,44639.171969999996
6324,44639.17235,44639.172439999995
6325,44639.1727,44639.172660000004
6326,44639.17305,44639.17314
6327,44639.1734,44639.17336
6328,44639.17375,44639.17383
6329,44639.17409,44639.17405
6330,44639.174439999995,44639.174530000004
6331,44639.17479,44639.17475
6332,44639.17514,44639.17522
6333,44639.175489999994,44639.17544
6334,44639.175839999996,44639.175910000005
6335,44639.17619,44639.17613
6336,44639.17654,44639.17661
6337,44639.176889999995,44639.176830000004
6338,44639.17724,44639.1773
6339,44639.17759,44639.17752
6340,44639.17793,44639.178
6341,44639.17828,44639.17822
6342,44639.17863,44639.17869
6343,44639.178980000004,44639.17891
6344,44639.17933,44639.17939
6345,44639.18152,44639.181469999996
6346,44639.18187,44639.181880000004
6347,44639.18221,44639.182160000004
6348,44639.18256,44639.18257
6349,44639.18291,44639.18286
6350,44639.183260000005,44639.183260000005
6351,44639.1849,44639.18494
6352,44639.18525,44639.18516
6353,44639.1856,44639.185639999996
6354,44639.18595,44639.185860000005
6355,44639.1863,44639.186330000004
6356,44639.18665,44639.18674
6357,44639.187000000005,44639.18703
6358,44639.18734,44639.18725
6359,44639.18769,44639.18772
