"group","P2_ind","V1_date","V1_date_time","V1_date_time_num","Vent_Gate_1","Vent_Gate_2","Seeing_mean"
0,1,"04/23/2022",2022-04-23 20:59:19,1650772759.73623,50,50,0.54439233
0,1,"04/23/2022",2022-04-23 20:59:49,1650772789.90044,50,50,0.65205281
0,1,"04/23/2022",2022-04-23 21:00:20,1650772820.06457,50,50,0.5666204
0,1,"04/23/2022",2022-04-23 21:00:50,1650772850.22872,50,50,0.47596706
0,1,"04/23/2022",2022-04-23 21:01:20,1650772880.39281,50,50,0.53194912
0,1,"04/23/2022",2022-04-23 21:01:50,1650772910.55706,50,50,0.61810433
0,1,"04/23/2022",2022-04-23 21:02:20,1650772940.72128,50,50,0.78414338
0,1,"04/23/2022",2022-04-23 21:02:50,1650772970.88543,50,50,0.74980294
0,1,"04/23/2022",2022-04-23 21:03:21,1650773001.05461,50,50,0.62995137
0,1,"04/23/2022",2022-04-23 21:03:51,1650773031.21876,50,50,0.60307042
0,1,"04/23/2022",2022-04-23 21:04:21,1650773061.38293,50,50,0.53453066
0,1,"04/23/2022",2022-04-23 21:04:51,1650773091.5471,50,50,0.51592016
0,1,"04/23/2022",2022-04-23 21:05:22,1650773122.84237,50,50,0.65353827
0,1,"04/23/2022",2022-04-23 21:05:53,1650773153.00663,50,50,0.6309408
0,1,"04/23/2022",2022-04-23 21:06:23,1650773183.17086,50,50,0.54059328
0,1,"04/23/2022",2022-04-23 21:06:53,1650773213.33492,50,50,0.56355492
0,1,"04/23/2022",2022-04-23 21:07:23,1650773243.49924,50,50,0.51603499
0,1,"04/23/2022",2022-04-23 21:07:53,1650773273.66327,50,50,0.56591583
0,1,"04/23/2022",2022-04-23 21:08:23,1650773303.82743,50,50,0.43202547
0,1,"04/23/2022",2022-04-23 21:08:53,1650773333.99163,50,50,0.51164946
