datetime,p2,wind
44635.246530000004,1.01000,6.3
44635.25,0.87200,5.7
44635.253469999996,0.92300,5.8
44635.25694,1.18000,6.0
44635.26042,1.13600,6.3
44635.263889999995,1.10600,5.9
44635.267360000005,1.02800,6.0
44635.27083,0.87400,5.5
44635.27431,0.94300,4.3
44635.277780000004,0.94800,4.6
44635.28125,1.02000,5.8
44635.29167,0.93931,4.9
44635.295139999995,0.89800,6.1
44635.298610000005,0.92600,5.9
44635.30208,1.16000,6.0
44635.30556,0.92300,5.3
44635.309030000004,1.03600,5.9
44635.3125,1.24600,4.6
44635.315969999996,1.10200,4.8
44635.31944,0.94889,6.0
44635.32292,0.99000,6.2
44635.340280000004,0.92140,6.8
44635.34375,0.96300,7.3
44635.347219999996,0.83400,7.1
44635.357639999995,0.95524,7.9
44635.361110000005,0.89000,8.0
44635.36458,1.00222,7.1
44635.36806,0.95429,6.3
44635.371530000004,1.55800,8.0
44635.375,0.76800,7.9
44635.378469999996,0.72000,8.2
44635.38542,1.43250,0.1
44635.388889999995,1.26400,7.1
44635.392360000005,1.13800,7.7
44635.39583,1.00000,7.4
44635.39931,0.70000,6.9
44635.402780000004,0.66750,7.4
44635.423610000005,0.62000,7.4
44635.71458,5.25333,2.8
44635.97917,0.44000,0.6
44635.986110000005,0.70250,4.1
44636.0,0.60143,2.2
44636.003469999996,0.46000,0.8
44636.00694,0.47000,1.4
44636.01042,0.52625,0.4
44636.013889999995,0.49429,0.3
44636.017360000005,0.62600,0.5
44636.02083,0.53286,3.4
44636.02431,0.55444,3.0
44636.027780000004,0.44750,2.5
44636.03125,0.45625,1.1
44636.034719999996,0.50700,0.4
44636.03819,0.47600,0.5
44636.04167,0.46000,0.6
44636.045139999995,0.47000,1.8
44636.048610000005,0.45667,1.7
44636.05208,0.45000,1.3
44636.05556,0.53889,0.9
44636.059030000004,0.47800,1.1
44636.0625,0.49500,1.5
44636.065969999996,0.34375,1.2
44636.06944,0.49000,1.3
44636.07292,0.44300,1.5
44636.076389999995,0.38100,1.4
44636.079860000005,0.39600,2.0
44636.08333,0.49286,2.3
44636.08681,0.47000,2.1
44636.090280000004,0.41300,2.5
44636.09375,0.45400,2.6
44636.097219999996,0.44100,2.9
44636.10069,0.45300,3.4
44636.11458,0.76844,3.4
44636.11806,0.74125,2.7
44636.121530000004,0.39714,3.1
44636.125,0.59700,3.4
44636.128469999996,0.69800,2.8
44636.13194,0.77500,3.1
44636.13542,0.67667,3.0
44636.13819,0.54125,3.5
44636.14167,0.67600,3.4
44636.15208,0.43517,3.6
44636.15556,0.40200,3.1
44636.15903,0.38200,3.2
44636.16667,0.33667,2.8
44636.170139999995,0.38600,2.7
44636.173610000005,0.40500,2.6
44636.17708,0.42667,2.8
44636.18056,0.42800,2.5
44636.190969999996,0.46286,2.5
44636.20069,0.56960,2.6
44636.20417,0.51300,3.2
44636.20764,0.51000,2.7
44636.215280000004,0.78929,2.8
44636.222219999996,1.10357,2.6
44636.22569,0.91667,1.6
44636.236110000005,0.58143,2.7
44636.23958,0.53900,3.7
44636.24306,0.51400,3.6
44636.246530000004,0.51900,2.6
44636.25,0.59778,2.1
44636.253469999996,0.57300,2.8
44636.25625,0.51000,3.3
44636.25972,0.52200,3.1
44636.26319,0.50800,2.3
44636.26667,0.52000,2.6
44636.27014,0.50200,4.3
44636.273610000004,0.52100,2.9
44636.27708,0.55000,3.3
44636.28056,0.61100,2.6
44636.29444,0.58000,3.3
44636.29792,0.55900,1.9
44636.30139,0.52700,2.7
44636.31875,0.52816,2.0
44636.32222,0.52400,2.5
44636.32569,0.48500,2.6
44636.32917,0.52700,2.0
44636.33264,0.45900,1.8
44636.336110000004,0.47100,2.1
44636.33958,0.47900,2.2
44636.34306,0.51800,2.5
44636.34653,0.52100,2.4
44636.35,0.50400,2.8
44636.35347,0.48000,1.9
44636.35694,0.46800,2.7
44636.36042,0.51300,2.1
44636.36389,0.50400,1.9
44636.367360000004,0.53400,2.5
44636.37083,0.48200,1.8
44636.37431,0.43900,2.3
44636.37778,0.46889,2.5
44636.38125,0.44000,2.3
44636.38472,0.46100,2.1
44636.398610000004,0.66543,1.6
44636.40208,0.54375,2.9
44636.4125,0.76400,2.3
44636.41597,0.38286,0.1
44636.43681,0.31000,3.0
44636.65625,5.46250,2.1
44636.659719999996,1.68000,0.6
44636.97569,0.98333,0.5
44636.97917,0.69250,0.8
44637.0,0.83000,1.7
44637.003469999996,0.84714,0.7
44637.013889999995,0.84000,1.3
44637.017360000005,0.84300,1.0
44637.02083,0.83500,1.1
44637.02431,0.81700,1.5
44637.027780000004,0.76000,0.9
44637.03125,0.82375,0.4
44637.034719999996,0.76250,0.5
44637.03819,0.84200,0.4
44637.04167,0.82000,0.8
44637.045139999995,0.77800,0.5
44637.048610000005,1.09000,0.4
44637.05208,1.04700,1.4
44637.05556,1.13600,1.6
44637.059030000004,0.95222,1.7
44637.0625,0.89286,2.9
44637.065969999996,0.91600,3.4
44637.06944,0.79100,3.0
44637.07292,0.91143,2.6
44637.08333,0.77731,1.6
44637.08681,0.83800,2.2
44637.090280000004,0.76833,2.7
44637.09375,0.90300,2.4
44637.097219999996,0.64200,1.6
44637.10069,0.66429,2.2
44637.10417,0.76143,2.4
44637.107639999995,0.80333,3.2
44637.111110000005,0.87300,2.9
44637.11458,0.95700,3.1
44637.11806,0.87100,2.7
44637.121530000004,0.97571,2.5
44637.125,1.03444,2.1
44637.128469999996,1.20800,1.8
44637.13194,1.07875,1.7
44637.13542,1.07500,1.1
44637.138889999995,1.14200,1.2
44637.142360000005,1.08900,0.5
44637.14583,1.05900,1.3
44637.14931,0.99143,1.0
44637.152780000004,1.08700,1.2
44637.15625,1.10000,1.3
44637.159719999996,0.94000,1.4
44637.16319,0.79333,0.7
44637.16667,0.72400,0.4
44637.170139999995,0.69700,0.5
44637.173610000005,0.80200,0.4
44637.17708,0.79000,0.6
44637.1875,0.85000,1.0
44637.190969999996,0.77429,0.9
44637.201389999995,0.62556,0.9
44637.21181,1.05444,1.4
44637.222219999996,0.83375,1.2
44637.22569,0.51857,1.7
44637.236110000005,0.94125,0.8
44637.24306,1.97333,1.0
44637.246530000004,0.52400,0.8
44637.25,0.57100,1.0
44637.253469999996,0.86500,0.4
44637.25694,1.31375,0.5
44637.26042,0.84500,0.3
44637.263889999995,0.60800,0.4
44637.267360000005,0.76833,0.2
44637.27083,0.67000,0.7
44637.27431,0.56500,1.1
44637.277780000004,1.01143,1.6
